level,label,employee,resident,visitor,total
B1,B1_CLL,0,0.016666667,0,0.016666667
B1,B1_Carpark,0.55,0,0,0.55
B1,B1_Carpark,0.55,0,0,0.55
B1,B1_Carpark,0.55,0,0,0.55
B1,B1_Carpark,0.55,0,0,0.55
B1,B1_Carpark,0.55,0,0,0.55
B1,B1_ELL,0,0,0,0
B1,B1_Posb_bank,4.933333333,0,0,4.933333333
B1,B1_R1_LL,0.55,0,0,0.55
B1,B1_R2_LL,0,0,0,0
B1,B1_SLL,0,0,0,0
B1,B1_Supermarket_entrance_1,9.683333333,0,11,20.68333333
B1,B1_Supermarket_entrance_2,0,0,0.016666667,0.016666667
B2,B2_CLL,1.233333333,0,0,1.233333333
B2,B2_Carpark,1.25,0,0,1.25
B2,B2_Carpark,1.25,0,0,1.25
B2,B2_Carpark,1.25,0,0,1.25
B2,B2_Carpark,1.25,0,0,1.25
B2,B2_Carpark,1.25,0,0,1.25
B2,B2_Carpark,1.25,0,0,1.25
B2,B2_ELL,0,0,0,0
B2,B2_ELL,0,0,0,0
B2,B2_R1_LL,0,0,0,0
B2,B2_R2_LL,0,0,0,0
B2,B2_SLL,1.25,0,0,1.25
L10,L10_R1_LL,0,0,0,0
L10,L10_R1_LL,0,0,0,0
L10,L10_R2_LL,0,0,0,0
L10,L10_R2_LL,0,0,0,0
L11,L11_R1_LL,0,0,0,0
L11,L11_R1_LL,0,0,0,0
L11,L11_R2_LL,0,0,0,0
L11,L11_R2_LL,0,0,0,0
L1,L1_CLL,8.633333333,3.05,5.933333333,17.61666667
L1,L1_CP,9.416666667,10.53333333,10.63333333,30.58333333
L1,L1_CP,9.416666667,10.53333333,10.63333333,30.58333333
L1,L1_CP,9.416666667,10.53333333,10.63333333,30.58333333
L1,L1_CP,9.416666667,10.53333333,10.63333333,30.58333333
L1,L1_CP,9.416666667,10.53333333,10.63333333,30.58333333
L1,L1_ELL,9.716666667,9.133333333,13.83333333,32.68333333
L1,L1_ELL,9.716666667,9.133333333,13.83333333,32.68333333
L1,L1_Ent_1,9.416666667,9.033333333,8.566666667,27.01666667
L1,L1_Ent_1,9.416666667,9.033333333,8.566666667,27.01666667
L1,L1_Ent_2,7.066666667,0,2.016666667,9.083333333
L1,L1_Ent_2,7.066666667,0,2.016666667,9.083333333
L1,L1_Ent_2,7.066666667,0,2.016666667,9.083333333
L1,L1_Ent_3,7.516666667,9.066666667,14.3,30.88333333
L1,L1_Ent_3,7.516666667,9.066666667,14.3,30.88333333
L1,L1_Ent_3,7.516666667,9.066666667,14.3,30.88333333
