s.no,level,label,New label,Name in tooltip,New S.no,type,description,category,division
0,B1,B1_CLL,B1_CLL,Main Lift Lobby,1,Vertical_Street,lift,vertical,community
1,B1,B1_Carpark_entrance,B1_Carpark,Carpark,2,Community_Street,carpark,open,community
2,B1,B1_Carpark_zone_1,B1_Carpark,Carpark,,Community_Street,carpark,open,community
3,B1,B1_Carpark_zone_2,B1_Carpark,Carpark,,Community_Street,carpark,open,community
4,B1,B1_Carpark_zone_3,B1_Carpark,Carpark,,Community_Street,carpark,open,community
5,B1,B1_Carpark_zone_4,B1_Carpark,Carpark,,Community_Street,carpark,open,community
6,B1,B1_ELL_2,B1_ELL,Emergency Lift,3,Vertical_Street,lift,vertical,service
7,B1,B1_Posb_bank,B1_Posb_bank,Entrance to bank,4,Commercial_Street,posb_atm,open,community
8,B1,B1_R1_LL,B1_R1_LL,Residential Lift Lobby 1,5,Vertical_Street,lift,vertical,residential
9,B1,B1_R2_LL,B1_R2_LL,Residential Lift Lobby 2,6,Vertical_Street,lift,vertical,residential
10,B1,B1_SLL,B1_SLL,Service Lift,7,Vertical_Street,lift,vertical,service
11,B1,B1_Supermarket_entrance_1,B1_Supermarket_entrance_1,Supermarket Entrance 1,8,Commercial_Street,supermarket_entrance,open,community
12,B1,B1_Supermarket_entrance_2,B1_Supermarket_entrance_2,Supermarket Entrance 2,9,Commercial_Street,supermarket_entrance,open,community
13,B2,B2_CLL,B2_CLL,Main Lift Lobby,10,Vertical_Street,lift,vertical,community
14,B2,B2_Carpark_zone_1,B2_Carpark,Carpark,11,Community_Street,carpark,open,community
15,B2,B2_Carpark_zone_2,B2_Carpark,Carpark,,Community_Street,carpark,open,community
16,B2,B2_Carpark_zone_3,B2_Carpark,Carpark,,Community_Street,carpark,open,community
17,B2,B2_Carpark_zone_4,B2_Carpark,Carpark,,Community_Street,carpark,open,community
18,B2,B2_Carpark_zone_5,B2_Carpark,Carpark,,Community_Street,carpark,open,community
19,B2,B2_Carpark_zone_6,B2_Carpark,Carpark,,Community_Street,carpark,open,community
20,B2,B2_ELL_1,B2_ELL,Emergency Lift,12,Vertical_Street,lift,vertical,service
21,B2,B2_ELL_2,B2_ELL,Emergency Lift,,Vertical_Street,lift,vertical,service
22,B2,B2_R1_LL,B2_R1_LL,Residential Lift Lobby 1,13,Vertical_Street,lift,vertical,residential
23,B2,B2_R2_LL,B2_R2_LL,Residential Lift Lobby 2,14,Vertical_Street,lift,vertical,residential
24,B2,B2_SLL,B2_SLL,Service Lift,15,Vertical_Street,lift,vertical,service
25,L10,L10_R1_LL,L10_R1_LL,Residential Lift Lobby 1,16,Vertical_Street,lift,vertical,residential
26,L10,L10_R1_LL_corridor,L10_R1_LL,Residential Lift Lobby 1,,Residential_Street,walk,horizontal,residential
27,L10,L10_R2_LL,L10_R2_LL,Residential Lift Lobby 2,17,Vertical_Street,lift,vertical,residential
28,L10,L10_R2_LL_corridor,L10_R2_LL,Residential Lift Lobby 2,,Residential_Street,walk,horizontal,residential
29,L11,L11_R1_LL,L11_R1_LL,Residential Lift Lobby 1,18,Vertical_Street,lift,vertical,residential
