ind,id,uuid_user,sensor_type,sensor_data,scan_time,upload_time,timestamp,date,scan_time_2,upload_time_2,MacAddress,NameSpaceId,NameSpaceShort,NS2,floor,time_spent,trip,location_z,location_floor
3344525,245987,d87398d326eff32c,beacon,MacAddress : F4:B9:B4:8A:75:36; RSSI : -92; Extra : Discovered,1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:25.1,45:46.0,F4:B9:B4:8A:75,f7826da6bc5b71e00807,807,807,8,-1,0,L8_RG_zone_1,8
3344526,245988,d87398d326eff32c,beacon,MacAddress : E6:31:E0:BD:0E:34; RSSI : -83; Extra : Discovered,1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:25.1,45:46.0,E6:31:E0:BD:0E,f7826da6bc5b71e00618,618,618,6,0.000716667,0,L6_CCC_walkway,6
3344529,245989,d87398d326eff32c,beacon,"MacAddress : C4:EB:8E:28:B9:A4; RSSI : -83; Extra : tm_temp=25,tm_ll=54,state=Discovered",1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:25.2,45:46.0,C4:EB:8E:28:B9,f7826da6bc5b71e00621,621,621,6,0.001283333,0,L6_FC,6
3344530,245990,d87398d326eff32c,beacon,MacAddress : E0:E7:FB:66:31:96; RSSI : -81; Extra : Discovered,1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:25.2,45:46.0,E0:E7:FB:66:31,f7826da6bc5b71e00620,620,620,6,0.001,0,L6_AAH_walkway,6
3344533,245993,d87398d326eff32c,beacon,MacAddress : DC:B0:41:3E:63:43; RSSI : -84; Extra : Discovered,1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:25.3,45:46.0,DC:B0:41:3E:63,f7826da6bc5b71e00619,619,619,6,0.00135,0,L6_ST_1,6
3344536,245996,d87398d326eff32c,beacon,MacAddress : C3:FE:EE:40:7A:02; RSSI : -81; Extra : Discovered,1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:25.4,45:46.0,C3:FE:EE:40:7A,f7826da6bc5b71e00909,909,909,9,0.001083333,0,L9_CG_steps_zone_2,9
3344547,246002,d87398d326eff32c,beacon,MacAddress : E6:31:E0:BD:0E:34; RSSI : -83; Extra : ,1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:26.2,45:46.0,E6:31:E0:BD:0E,f7826da6bc5b71e00618,618,618,6,0.0135,0,L6_CCC_walkway,6
3344548,246003,d87398d326eff32c,beacon,"MacAddress : C4:EB:8E:28:B9:A4; RSSI : -89; Extra : tm_temp=25,tm_ll=54,state=Updated",1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:26.3,45:46.0,C4:EB:8E:28:B9,f7826da6bc5b71e00621,621,621,6,0.00085,0,L6_FC,6
3344549,246004,d87398d326eff32c,beacon,MacAddress : C4:EB:8E:28:B9:A6; RSSI : -86; Extra : Discovered,1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:26.4,45:46.0,C4:EB:8E:28:B9,f7826da6bc5b71e00621,621,621,6,0.002366667,0,L6_FC,6
3344552,246006,d87398d326eff32c,beacon,MacAddress : DC:B0:41:3E:63:43; RSSI : -89; Extra : Updated,1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:26.5,45:46.0,DC:B0:41:3E:63,f7826da6bc5b71e00619,619,619,6,0.00255,0,L6_ST_1,6
3344554,246008,d87398d326eff32c,beacon,"MacAddress : DC:B0:41:3E:63:41; RSSI : -88; Extra : tm_temp=25,tm_ll=7,state=Discovered",1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:26.6,45:46.0,DC:B0:41:3E:63,f7826da6bc5b71e00619,619,619,6,0.0004,0,L6_ST_1,6
3344560,246010,d87398d326eff32c,beacon,MacAddress : D2:96:51:BA:6F:9F; RSSI : -95; Extra : Discovered,1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:26.6,45:46.0,D2:96:51:BA:6F,f7826da6bc5b71e00121,121,121,1,0.000866667,0,L1_Fish_pond,1
3344570,246015,d87398d326eff32c,beacon,"MacAddress : FC:95:97:AC:B9:32; RSSI : -95; Extra : tm_temp=30,tm_ll=88,state=Discovered",1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:27.7,45:46.0,FC:95:97:AC:B9,f7826da6bc5b71e00604,604,604,6,0.018416667,0,L6_ST_1,6
3344580,246018,d87398d326eff32c,beacon,MacAddress : C4:EB:8E:28:B9:A6; RSSI : -90; Extra : ,1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:28.6,45:46.0,C4:EB:8E:28:B9,f7826da6bc5b71e00621,621,621,6,0.01385,0,L6_FC,6
3344595,246022,d87398d326eff32c,beacon,MacAddress : D8:FB:04:51:AC:59; RSSI : -84; Extra : Discovered,1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:29.7,45:46.0,D8:FB:04:51:AC,f7826da6bc5b71e00808,808,808,8,0.018633333,0,L8_RG_zone_2,8
3344608,246025,d87398d326eff32c,beacon,MacAddress : C4:EB:8E:28:B9:A6; RSSI : -87; Extra : ,1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:30.7,45:46.0,C4:EB:8E:28:B9,f7826da6bc5b71e00621,621,621,6,0.017066667,0,L6_FC,6
3344648,246035,d87398d326eff32c,beacon,MacAddress : C4:EB:8E:28:B9:A6; RSSI : -94; Extra : ,1.61242E+12,1.61242E+12,4/2/2021 15:25,2/4/2021,25:34.0,45:46.0,C4:EB:8E:28:B9,f7826da6bc5b71e00621,621,621,6,0.05575,0,L6_FC,6
