ind,id,uuid_user,sensor_type,sensor_data,scan_time,upload_time,timestamp,date,scan_time_2,upload_time_2,MacAddress,NameSpaceId,NameSpaceShort,NS2,floor,time_spent,trip,location_z,location_floor
3364781,253875,8f35cf428a664bfd,beacon,MacAddress : C4:5C:4B:0B:1B:F1; RSSI : -93; Extra : Discovered,1.61243E+12,1.61243E+12,4/2/2021 15:58,2/4/2021,58:19.8,58:56.0,C4:5C:4B:0B:1B,f7826da6bc5b71e00104,104,104,1,-1,0,L1_RR_walkway,1
3364794,253878,8f35cf428a664bfd,beacon,MacAddress : C4:5C:4B:0B:1B:F1; RSSI : -93; Extra : ,1.61243E+12,1.61243E+12,4/2/2021 15:58,2/4/2021,58:20.9,58:56.0,C4:5C:4B:0B:1B,f7826da6bc5b71e00104,104,104,1,0.017866667,0,L1_RR_walkway,1
3364838,253887,8f35cf428a664bfd,beacon,MacAddress : DD:68:34:4B:C8:E0; RSSI : -93; Extra : Discovered,1.61243E+12,1.61243E+12,4/2/2021 15:58,2/4/2021,58:24.9,58:56.0,DD:68:34:4B:C8,f7826da6bc5b71e00103,103,103,1,0.067016667,0,L1_SLL,1
3364839,253888,8f35cf428a664bfd,beacon,"MacAddress : C4:5C:4B:0B:1B:EF; RSSI : -90; Extra : tm_temp=32,tm_ll=22,state=Discovered",1.61243E+12,1.61243E+12,4/2/2021 15:58,2/4/2021,58:25.0,58:56.0,C4:5C:4B:0B:1B,f7826da6bc5b71e00104,104,104,1,0.000966667,0,L1_RR_walkway,1
3364852,253891,8f35cf428a664bfd,beacon,MacAddress : C4:5C:4B:0B:1B:F1; RSSI : -90; Extra : Updated,1.61243E+12,1.61243E+12,4/2/2021 15:58,2/4/2021,58:26.0,58:56.0,C4:5C:4B:0B:1B,f7826da6bc5b71e00104,104,104,1,0.016333333,0,L1_RR_walkway,1
3364853,253892,8f35cf428a664bfd,beacon,MacAddress : DD:68:34:4B:C8:E0; RSSI : -93; Extra : Updated,1.61243E+12,1.61243E+12,4/2/2021 15:58,2/4/2021,58:26.0,58:56.0,DD:68:34:4B:C8,f7826da6bc5b71e00103,103,103,1,0.000583333,0,L1_SLL,1
3364962,253909,8f35cf428a664bfd,beacon,"MacAddress : C4:5C:4B:0B:1B:EF; RSSI : -89; Extra : tm_temp=32,tm_ll=19,state=Discovered",1.61243E+12,1.61243E+12,4/2/2021 15:58,2/4/2021,58:34.6,58:56.0,C4:5C:4B:0B:1B,f7826da6bc5b71e00104,104,104,1,0.1433,0,L1_RR_walkway,1
3364972,253911,8f35cf428a664bfd,beacon,MacAddress : C4:5C:4B:0B:1B:F1; RSSI : -89; Extra : Discovered,1.61243E+12,1.61243E+12,4/2/2021 15:58,2/4/2021,58:35.5,58:56.0,C4:5C:4B:0B:1B,f7826da6bc5b71e00104,104,104,1,0.01525,0,L1_RR_walkway,1
3365099,253933,8f35cf428a664bfd,beacon,MacAddress : DD:68:34:4B:C8:E0; RSSI : -91; Extra : Discovered,1.61243E+12,1.61243E+12,4/2/2021 15:58,2/4/2021,58:47.3,58:56.0,DD:68:34:4B:C8,f7826da6bc5b71e00103,103,103,1,0.196883333,0,L1_SLL,1
3365137,253942,8f35cf428a664bfd,beacon,"MacAddress : DD:68:34:4B:C8:DE; RSSI : -92; Extra : tm_temp=29,tm_ll=0,state=Discovered",1.61243E+12,1.61243E+12,4/2/2021 15:58,2/4/2021,58:51.1,58:56.0,DD:68:34:4B:C8,f7826da6bc5b71e00103,103,103,1,0.0629,0,L1_SLL,1
