ind,id,uuid_user,sensor_type,sensor_data,scan_time,upload_time,timestamp,date,scan_time_2,upload_time_2,MacAddress,NameSpaceId,NameSpaceShort,NS2,floor,time_spent,trip,location_z,location_floor
27498964,1422588,4b5613d41da55b0a,beacon,MacAddress : F8:CD:AE:9E:8F:14; RSSI : -84; Extra : Discovered,1613897774026,1613897954000,2021-02-21 16:56:14,02/21/2021,2021-02-21 16:56:14.026,2021-02-21 16:59:14.000,F8:CD:AE:9E:8F,f7826da6bc5b71e00806,0806,0806,08,-1.0,0,L8_R2_LL,8
27499056,1422591,4b5613d41da55b0a,beacon,"MacAddress : F8:CD:AE:9E:8F:12; RSSI : -84; Extra : tm_temp=24,tm_ll=0,state=Updated",1613897776673,1613897954000,2021-02-21 16:56:16,02/21/2021,2021-02-21 16:56:16.673,2021-02-21 16:59:14.000,F8:CD:AE:9E:8F,f7826da6bc5b71e00806,0806,0806,08,0.044116666666666665,0,L8_R2_LL,8
27499086,1422593,4b5613d41da55b0a,beacon,MacAddress : F8:CD:AE:9E:8F:14; RSSI : -83; Extra : Updated,1613897777580,1613897954000,2021-02-21 16:56:17,02/21/2021,2021-02-21 16:56:17.580,2021-02-21 16:59:14.000,F8:CD:AE:9E:8F,f7826da6bc5b71e00806,0806,0806,08,0.015116666666666669,0,L8_R2_LL,8
27499341,1422601,4b5613d41da55b0a,beacon,MacAddress : F8:CD:AE:9E:8F:14; RSSI : -81; Extra : ,1613897785104,1613897954000,2021-02-21 16:56:25,02/21/2021,2021-02-21 16:56:25.104,2021-02-21 16:59:14.000,F8:CD:AE:9E:8F,f7826da6bc5b71e00806,0806,0806,08,0.1254,0,L8_R2_LL,8
27499382,1422603,4b5613d41da55b0a,beacon,MacAddress : F8:CD:AE:9E:8F:14; RSSI : -85; Extra : ,1613897786210,1613897954000,2021-02-21 16:56:26,02/21/2021,2021-02-21 16:56:26.210,2021-02-21 16:59:14.000,F8:CD:AE:9E:8F,f7826da6bc5b71e00806,0806,0806,08,0.018433333333333336,0,L8_R2_LL,8
27499420,1422605,4b5613d41da55b0a,beacon,MacAddress : F8:CD:AE:9E:8F:14; RSSI : -92; Extra : ,1613897787310,1613897954000,2021-02-21 16:56:27,02/21/2021,2021-02-21 16:56:27.310,2021-02-21 16:59:14.000,F8:CD:AE:9E:8F,f7826da6bc5b71e00806,0806,0806,08,0.01833333333333333,0,L8_R2_LL,8
27499460,1422608,4b5613d41da55b0a,beacon,MacAddress : F8:CD:AE:9E:8F:14; RSSI : -85; Extra : ,1613897788418,1613897954000,2021-02-21 16:56:28,02/21/2021,2021-02-21 16:56:28.418,2021-02-21 16:59:14.000,F8:CD:AE:9E:8F,f7826da6bc5b71e00806,0806,0806,08,0.01846666666666667,0,L8_R2_LL,8
27499497,1422610,4b5613d41da55b0a,beacon,MacAddress : F8:CD:AE:9E:8F:14; RSSI : -85; Extra : ,1613897789522,1613897954000,2021-02-21 16:56:29,02/21/2021,2021-02-21 16:56:29.522,2021-02-21 16:59:14.000,F8:CD:AE:9E:8F,f7826da6bc5b71e00806,0806,0806,08,0.018400000000000003,0,L8_R2_LL,8
27499533,1422612,4b5613d41da55b0a,beacon,MacAddress : F8:CD:AE:9E:8F:14; RSSI : -82; Extra : ,1613897790643,1613897954000,2021-02-21 16:56:30,02/21/2021,2021-02-21 16:56:30.643,2021-02-21 16:59:14.000,F8:CD:AE:9E:8F,f7826da6bc5b71e00806,0806,0806,08,0.01868333333333333,0,L8_R2_LL,8
27499643,1422616,4b5613d41da55b0a,beacon,MacAddress : F8:CD:AE:9E:8F:14; RSSI : -82; Extra : ,1613897793889,1613897954000,2021-02-21 16:56:33,02/21/2021,2021-02-21 16:56:33.889,2021-02-21 16:59:14.000,F8:CD:AE:9E:8F,f7826da6bc5b71e00806,0806,0806,08,0.0541,0,L8_R2_LL,8
