date,employee,resident,visitor
1/2 Mon,0,8.416666667,0
2/2 Tue,0,11.2,0
3/2 Wed,0,11.43333333,0
4/2 Thurs,0.733333333,10.71666667,0.15
5/2 Fri,8.55,2.2,8.666666667
6/2 Sat,0,0.366666667,10.48333333
7/2 Sun,0,0.133333333,0
8/2 Mon,8.75,3.283333333,0
9/2 Tue,9.666666667,0,0
10/2 Wed,9.55,11.01666667,2.533333333
11/2 Thurs,0,2.75,0
12/2 Fri,0,1.883333333,0
13/2 Sat,0,0,0
14/2 Sun,0,0,0
15/2 Mon,0,0.15,0
16/2 Tue,9.133333333,0,4.433333333
17/2 Wed,9.483333333,0,5.4
18/2 Thurs,9.516666667,8.966666667,3.216666667
19/2 Fri,8.783333333,11,8.55
20/2 Sat,0,0,0.6
21/2 Sun,0,0,0
22/2 Mon,0,0,0
23/2 Tue,0,0,0
24/2 Wed,0,0,0
25/2 Thurs,0,0,4.116666667
26/2 Fri,0,0,9.966666667
27/2 Sat,0,0,14.9
28/2 Sun,0,0,3.1
